customer_id,first_name,last_name,avg_check
496,Kenton,Rigg,324.229000
1088,Wade,Viel,338.394000
2659,Saleem,Haggish,210.315000
4519,Latisha,Roach,268.811000
5518,Valentino,Hemstead,225.394000
6620,Kessiah,Neenan,291.969000
7240,Nanette,Blunn,242.789000
8638,Krishnah,Woliter,289.847000
9376,Wolfgang,Arundell,249.521000
1395,Auberon,Richter,304.219000
1483,Sebastien,Ciccottio,197.687000
2563,Pet,Seiffert,214.438000
4219,Melli,Ekkel,246.647000
8932,Kylynn,Kerford,238.748000
1143,Kerrill,Tolomio,233.242000
3000,Sibella,Slorance,268.308000
2231,Darin,Simnel,299.456000
5482,Donal,Lantaph,212.651000
2622,Jill,Harlow,204.975000
4383,Arluene,Bleue,235.389000
5907,Moria,De Carlo,248.096000
8211,Belvia,Earl,238.962000
8716,Frieda,Wissbey,312.273000
9206,Bearnard,Munnis,213.048000
481,Loreen,Wolton,255.066000
296,Tiffy,Grinov,258.206000
1787,Georas,Vasilenko,233.973000
3242,Timmie,Tomsett,214.404000
4291,Lindi,Troctor,222.503000
4838,Saundra,Brennen,236.721000
5100,Mercy,Antonomoli,378.444000
8640,Margaret,Frossell,237.554000
4697,Emiline,Sime,214.236000
5030,Gardy,Chambers,268.201000
5920,Nat,Kindleysides,285.402000
7283,Gianni,Gaishson,278.500000
8146,Consuelo,Poge,354.886000
9731,Bernelle,Dablin,225.547000
4061,Wilona,MacKereth,262.824000
5251,Iseabal,Cheevers,276.009000
5427,Jeffie,Hessentaler,135.333000
6145,Bart,Vanstone,274.538000
6939,Anjanette,Southcombe,284.132000
7131,Saleem,Jenking,296.942000
8085,Yasmin,Gebhardt,307.497000
9324,Lorry,McKern,218.979000
2173,Dominga,Simakov,205.364000
2513,Ashien,Klulik,221.635000
4923,Vaughan,Shapiro,168.372000
5375,Lock,Kinde,225.361000
6157,Brit,Ibbs,264.308000
9730,Trina,Simoncello,225.239000
3436,Randee,Detoile,237.804000
5827,Conchita,Hammor,283.724000
7218,Evaleen,Likly,231.955000
7865,Moishe,Rodgerson,294.696000
368,Bing,Crowth,244.958000
1537,Jesselyn,Wheildon,262.340000
4132,Amelia,Nance,260.434000
4172,Moses,Surgey,236.011000
7103,Daveen,Seaborne,213.652000
7587,Clara,Spykings,203.040000
8354,Prescott,Collingdon,191.913000
8464,Brena,Colecrough,235.370000
9209,Baxy,Edgin,238.870000
4153,Melinda,Colvine,203.421000
5918,Lyn,Branwhite,171.144000
847,Moore,Swaden,310.930000
3611,Genia,Inskipp,151.721000
4637,Morten,Burn,236.788000
5151,Desiree,O'Cooney,273.336000
6460,Twyla,Weighell,254.373000
6741,Tish,Doppler,342.400000
8412,Inness,Bouch,258.419000
1496,Theresa,Ridel,238.529000
2180,Stanford,Malloch,302.972000
3841,Allsun,Birkbeck,228.088000
9207,Paolo,Comrie,228.262000
9450,Brok,Cotgrave,246.674000
1415,Karine,Radbourn,322.346000
3485,Janelle,Curnnokk,219.030000
1772,Nada,Axworthy,206.134000
6820,Lydia,Welsh,193.511000
8036,Fremont,Greggersen,281.613000
9538,Ches,Yersin,216.092000
723,Dacy,Fyers,285.636000
2871,Nicolle,Winear,219.210000
3264,Jodee,Stennine,313.740000
3941,Nomi,McMeyler,271.420000
8902,Dee,Durston,206.916000
9771,Bari,Ruller,256.771000
26,Niels,Deery,304.324000
626,Lexi,Gocke,220.466000
2335,Francisca,Cottem,269.994000
4758,Marybeth,Wildes,300.608000
5759,Sofie,Ridhole,247.589000
7116,Nathanil,Cuncliffe,248.308000
8303,Brandise,MacMickan,243.117000
3387,Berenice,Crysell,295.399000
5037,Constanta,Matejovsky,313.635000
8895,Danni,Stroban,283.062000
192,Shoshana,Arnowitz,212.832000
3183,Dale,Gowrie,178.812000
4267,Kira,Reavell,253.804000
5405,Lazare,Jessup,193.970000
5606,Cheri,Bimson,236.806000
7225,Maximilian,Rosin,238.474000
9106,Jennie,Pargeter,255.010000
9787,Fayth,Struthers,333.051000
1759,Timmy,Dugald,249.860000
2076,Sharyl,Regardsoe,273.197000
2371,Marcia,Reek,238.238000
4779,Paulette,Hubback,279.597000
4610,Stevy,Bracknall,232.352000
5891,Cherri,Biasetti,274.866000
6110,Trey,MacAirt,287.131000
6956,Norbert,McCrainor,303.352000
9840,Maryl,Hylton,248.961000
2409,Basile,Brandom,276.835000
2692,Feodora,Monshall,202.659000
2920,Ronny,Brownhall,187.652000
5069,Vittoria,Kliemke,196.806000
5105,Dennison,Scutts,216.777000
3519,Rozina,Ewer,239.861000
4617,Charline,Wallen,292.197000
5374,Mildred,Pfeffel,206.191000
6096,Isiahi,Hagergham,283.037000
9178,Kalvin,Yanov,253.033000
1564,Rora,Branney,257.605000
4397,Delinda,Hampstead,298.017000
7032,Margit,Blowick,168.496000
822,Wood,Shervington,238.601000
1215,Brandy,Leynagh,227.263000
1925,Cymbre,Klug,214.808000
2113,Linn,Bonifazio,251.905000
2227,Anthe,Pletts,190.319000
2237,Henriette,Riordan,238.186000
3184,Kaylee,Fardoe,297.574000
3963,Micheline,Pincked,250.652000
7823,Isabelle,Ramel,274.638000
8773,Vale,Jarrad,281.669000
9919,Mar,Jay,279.381000
875,Stephi,Ruzicka,308.247000
4120,Louis,MacVay,263.483000
4177,Dennis,Bennetts,257.540000
4387,Nonah,Fyall,226.469000
8220,Darius,Gaddie,225.362000
604,Woodie,Milliere,215.429000
1731,Chrystal,Duigenan,285.072000
